"","MSSubClass","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LandSlope","Neighborhood","Condition2","OverallQual","OverallCond","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","MiscVal","SaleType","SaleCondition","SalePrice","TotalSF","HouseAge","Remodeled","NewHouse","GarageAge","SoldInSummer"
"1","1StNew",141,31770,"Pave",3,"Lvl","AllPub",3,"NAmes","Norm",6,5,"CompShg","Bad","Bad","Stone",112,3,3,"Other",3,4,4,4,639,1,0,441,1080,"GasA",2,"Y",5,1656,0,0,1656,1,0,1,0,3,1,3,7,8,2,"Gd","Good",3,2,528,3,3,2,210,62,0,0,0,0,0,"Old","Old",215000,2736,50,0,0,50,1
"2","1StNew",80,11622,"Pave",4,"Lvl","AllPub",3,"NAmes","Norm",5,6,"CompShg","Good","Good","None",0,3,3,"Other",3,3,1,3,468,2,144,270,882,"GasA",3,"Y",5,896,0,0,896,0,0,1,0,2,1,3,5,8,0,"None","Good",1,1,730,3,3,3,140,0,0,0,120,0,0,"Old","Old",105000,1778,49,0,0,49,1
"3","1StNew",81,14267,"Pave",3,"Lvl","AllPub",3,"NAmes","Norm",6,6,"CompShg","Bad","Bad","BrkFace",108,3,3,"Other",3,3,1,5,923,1,0,406,1329,"GasA",3,"Y",5,1329,0,0,1329,0,0,1,1,3,1,4,6,8,0,"None","Good",1,1,312,3,3,3,393,36,0,0,0,0,12500,"Old","Old",172000,2658,52,0,0,52,1
"4","1StNew",93,11160,"Pave",4,"Lvl","AllPub",3,"NAmes","Norm",7,5,"CompShg","Bad","Bad","None",0,4,3,"Other",3,3,1,5,1065,1,0,1045,2110,"GasA",5,"Y",5,2110,0,0,2110,1,0,2,1,3,1,5,8,8,2,"TA","Good",3,2,522,3,3,3,0,0,0,0,0,0,0,"Old","Old",244000,4220,42,0,0,42,0
"5","2StNew",74,13830,"Pave",3,"Lvl","AllPub",3,"Gilbert","Norm",5,5,"CompShg","Good","Good","None",0,3,3,"PC",4,3,1,6,791,1,0,137,928,"GasA",4,"Y",5,928,701,0,1629,0,0,2,1,3,1,3,6,8,1,"TA","Good",3,2,482,3,3,3,212,34,0,0,0,0,0,"Old","Old",189900,2557,13,1,0,13,0
"6","2StNew",78,9978,"Pave",3,"Lvl","AllPub",3,"Gilbert","Norm",6,6,"CompShg","Good","Good","BrkFace",20,3,3,"PC",3,3,1,6,602,1,0,324,926,"GasA",5,"Y",5,926,678,0,1604,0,0,2,1,3,1,4,7,8,1,"Gd","Good",3,2,470,3,3,3,360,36,0,0,0,0,0,"Old","Old",195500,2530,12,0,0,12,1
"7","PUDNew",41,4920,"Pave",4,"Lvl","AllPub",3,"StoneBr","Norm",8,5,"CompShg","Good","Bad","None",0,4,3,"PC",4,3,2,6,616,1,0,722,1338,"GasA",5,"Y",5,1338,0,0,1338,1,0,2,0,2,1,4,6,8,0,"None","Good",3,2,582,3,3,3,0,0,170,0,0,0,0,"Old","Old",213500,2676,9,0,0,9,0
"8","PUDNew",43,5005,"Pave",3,"HLS","AllPub",3,"StoneBr","Norm",8,5,"CompShg","Bad","Bad","None",0,4,3,"PC",4,3,1,5,263,1,0,1017,1280,"GasA",5,"Y",5,1280,0,0,1280,0,0,2,0,2,1,4,5,8,0,"None","Good",2,2,506,3,3,3,0,82,0,0,144,0,0,"Old","Old",191500,2560,18,0,0,18,0
"9","PUDNew",39,5389,"Pave",3,"Lvl","AllPub",3,"StoneBr","Norm",8,5,"CompShg","Good","Bad","None",0,4,3,"PC",4,3,1,6,1180,1,0,415,1595,"GasA",5,"Y",5,1616,0,0,1616,1,0,2,0,2,1,4,5,8,1,"TA","Good",2,2,608,3,3,3,237,152,0,0,0,0,0,"Old","Old",236500,3211,15,1,0,15,0
"10","2StNew",60,7500,"Pave",4,"Lvl","AllPub",3,"Gilbert","Norm",7,5,"CompShg","Good","Good","None",0,3,3,"PC",3,3,1,1,0,1,0,994,994,"GasA",4,"Y",5,1028,776,0,1804,0,0,2,1,3,1,4,7,8,1,"TA","Good",3,2,442,3,3,3,140,60,0,0,0,0,0,"Old","Old",189000,2798,11,0,0,11,1
